,District,Year,Disease,Number.Cases,Incidence.Rate,Prevalence,Number.Deaths,Mortality.Rates,population,prec_mean,CropRainfed.n.patches,Herbaceous.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,Shrub.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,Herbaceous.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,Shrub.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,Herbaceous.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,Shrub.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,SparseVeg.n.patches,SparseVeg.total.area,SparseVeg.patch.density,CropIrrigate.n.patches,MosTreeHerb.n.patches,ShrubEvg.n.patches,Grass.n.patches,CropIrrigate.total.area,MosTreeHerb.total.area,ShrubEvg.total.area,Grass.total.area,CropIrrigate.patch.density,MosTreeHerb.patch.density,ShrubEvg.patch.density,Grass.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,SMR
11,Lahad Datu,2000,malaria,351,22.5,0.002114318,1,0.3,166011,7.72742257,85,22,365,379,383,137,0,45,47,14,126,6152.1553,1047.718427,29236.67077,72095.52857,24163.20856,500723.3832,0,1781.286393,13907.45739,695.3156245,2086.088147,0.00013039,3.37E-05,0.000559911,0.000581387,0.000587524,0.000210159,0,6.90E-05,7.21E-05,2.15E-05,0.000193284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953506753
12,Nabawan,2000,malaria,122,51.1,0.004824995,0,0,25285,7.018843949,10,14,14,261,240,34,7,36,0,0,0,228.6312966,742.9644395,228.760989,28453.95444,31583.68295,553060.1228,285.7317677,1076.868319,0,0,0,1.62E-05,2.27E-05,2.27E-05,0.000423935,0.000389825,5.52E-05,1.14E-05,5.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.175957432
13,Papar,2000,malaria,28,3.2,0.000302863,0,0,92451,9.285282728,39,22,9,113,86,77,1,19,11,17,28,4214.893768,989.4873346,456.8031846,15139.4214,17348.15555,82538.65556,76.12339011,646.9709609,1607.876745,523.248415,399.6060428,0.000314303,0.000177299,7.25E-05,0.000910674,0.000693079,0.000620548,8.06E-06,0.000153122,8.86E-05,0.000137004,0.000225654,2,38.0630086,1.61E-05,4,0,0,0,104.6578852,0,0,0,3.22E-05,0,0,0,0,0,0,0.136584036
14,Penampang,2000,malaria,116,8.9,0.001339167,2,1.7,86621,8.786772744,20,28,0,28,27,9,0,0,2,5,1,865.4887626,998.6558285,0,4270.502335,1255.49613,36156.40595,0,0,38.04306608,2406.225168,57.06459675,0.000434331,0.000608063,0,0.000608063,0.000586346,0.000195449,0,0,4.34E-05,0.000108583,2.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603932385
15,Pitas,2000,malaria,582,188.7,0.017163079,1,0.2,33910,8.725946343,29,13,0,141,169,81,4,127,60,4,105,845.015889,949.4956335,0,24310.64232,21462.41204,77684.40255,142.3682631,6550.875833,22121.39822,132.9537487,3674.161143,0.000183691,8.23E-05,0,0.000893119,0.001070476,0.000513068,2.53E-05,0.00080444,0.000380051,2.53E-05,0.000665089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.740138238
16,Putatan,2000,malaria,0,0,0,0,0,50381,8.786772744,10,6,0,6,5,4,0,0,0,3,3,304.364424,304.3673513,0,561.1820561,95.11656022,399.485763,0,0,0,922.5998801,66.58057841,0.003768328,0.002260997,0,0.002260997,0.001884164,0.001507331,0,0,0,0.001130498,0.001130498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ranau,2000,malaria,317,44.9,0.004257548,0,0,74456,8.592302912,39,24,5,233,170,42,2,11,1,9,0,1569.153749,2386.933741,180.6703401,23242.3604,47788.6591,285567.0141,104.5935155,779.8774157,9.512870671,1026.972753,0,0.000107391,6.61E-05,1.38E-05,0.000641591,0.000468114,0.000115652,5.51E-06,3.03E-05,2.75E-06,2.48E-05,0,5,171.1568359,1.38E-05,1,5,0,1,19.01762233,190.1659261,0,9.507980083,2.75E-06,1.38E-05,0,2.75E-06,3,114.0991437,8.26E-06,1.920052411
18,Sandakan,2000,malaria,69,2,0.000187034,1,1.4,368916,8.620628807,81,19,187,172,201,164,1,68,50,23,227,3101.303469,2273.27122,16971.48087,43549.39752,11757.74924,84392.46264,57.0441847,2863.180835,54384.46487,1959.465584,5031.801842,0.000357791,8.39E-05,0.000826011,0.000759754,0.000887852,0.000724416,4.42E-06,0.000300368,0.000220859,0.000101595,0.001002698,1,19.0150768,4.42E-06,2,0,0,0,28.53446722,0,0,0,8.83E-06,0,0,0,0,0,0,0.084348065
19,Semporna,2000,malaria,399,36.9,0.003469897,3,0.8,114989,6.4151535,44,12,96,115,146,117,0,31,90,3,221,3345.916243,610.0964131,5957.769084,21029.26165,8913.127873,51607.48392,0,743.4602605,16976.36874,133.4572116,7920.912738,0.000375275,0.000102348,0.000818782,0.000980832,0.00124523,0.00099789,0,0.000264398,0.000767608,2.56E-05,0.001884903,1,9.531928847,8.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564840656
20,Sipitang,2000,malaria,192,65.5,0.006263661,0,0,30653,7.9545736,14,3,6,124,126,57,0,82,33,5,17,895.5233,133.3478311,181.0643664,31761.35744,12975.2248,225974.4824,0,3306.19845,3324.101093,85.73605763,428.5889634,5.01E-05,1.07E-05,2.15E-05,0.000444082,0.000451245,0.000204135,0,0.000293667,0.000118183,1.79E-05,6.09E-05,3,114.3224681,1.07E-05,1,0,0,0,28.57453324,0,0,0,3.58E-06,0,0,0,1,19.06345667,3.58E-06,2.824761373
21,Tambunan,2000,malaria,16,5.7,0.000546187,2,12.5,29294,8.770462755,12,9,2,89,74,21,0,3,0,1,0,1351.102352,1065.645596,38.0525047,8649.323836,12551.66217,118096.5205,0,66.6041619,0,9.514954891,0,8.46E-05,6.34E-05,1.41E-05,0.000627266,0.000521547,0.000148007,0,2.11E-05,0,7.05E-06,0,2,57.08573296,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24631725
