,District,Year,Disease,Number.Cases,Incidence.Rate,Prevalence,Number.Deaths,Mortality.Rates,population,prec_mean,CropRainfed.n.patches,Herbaceous.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,Shrub.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,Herbaceous.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,Shrub.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,Herbaceous.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,Shrub.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,SparseVeg.n.patches,SparseVeg.total.area,SparseVeg.patch.density,CropIrrigate.n.patches,MosTreeHerb.n.patches,ShrubEvg.n.patches,Grass.n.patches,CropIrrigate.total.area,MosTreeHerb.total.area,ShrubEvg.total.area,Grass.total.area,CropIrrigate.patch.density,MosTreeHerb.patch.density,ShrubEvg.patch.density,Grass.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,SMR
45,Sipitang,2001,malaria,110,36.7,0.003529702,0,0,31164.1,8.125940174,14,5,6,126,132,42,0,86,32,6,17,895.5233,171.4696283,181.0643664,25007.48077,13003.8459,231852.0022,0,3782.449093,3657.4644,95.26034406,419.064677,5.01E-05,1.79E-05,2.15E-05,0.000451245,0.000472733,0.000150415,0,0.000307992,0.000114602,2.15E-05,6.09E-05,3,114.3224681,1.07E-05,1,0,0,0,28.57453324,0,0,0,3.58E-06,0,0,0,1,19.06345667,3.58E-06,1.556440845
46,Tambunan,2001,malaria,26,8.9,0.000866831,0,0,29994.3,8.922383943,12,9,2,91,74,22,0,3,0,1,0,1351.102352,1065.645596,38.0525047,8563.717822,12618.28235,118115.5063,0,66.6041619,0,9.514954891,0,8.46E-05,6.34E-05,1.41E-05,0.000641362,0.000521547,0.000155055,0,2.11E-05,0,7.05E-06,0,2,57.08573296,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382233846
47,Tawau,2001,malaria,837,26.7,0.002523578,4,0.5,331672,5.751667152,119,63,213,450,480,260,0,53,39,24,235,4318.839568,2879.279605,16616.14137,102022.036,90925.43609,329418.3878,0,2135.449473,39130.11069,2746.139005,6216.523547,0.000199502,0.000105619,0.000357092,0.00075442,0.000804715,0.000435887,0,8.89E-05,6.54E-05,4.02E-05,0.000393975,0,0,0,3,0,1,0,66.7434038,0,9.534433577,0,5.03E-06,0,1.68E-06,0,0,0,0,1.112784766
48,Tenom,2001,malaria,106,22.4,0.002155462,0,0,49177.4,8.573784927,12,13,19,118,114,58,0,13,0,6,0,342.8954591,704.7487675,1466.652102,17781.8083,35793.09381,174886.5501,0,285.8117993,0,238.0624788,0,5.18E-05,5.62E-05,8.21E-05,0.00050972,0.000492441,0.00025054,0,5.62E-05,0,2.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950462145
49,Tongod,2001,malaria,0,0,0,0,0,26153.4,7.077921509,21,16,72,444,440,81,5,190,3,2,0,676.0301283,266.6606857,6168.286618,49014.26252,71740.23215,898189.9193,200.0072209,9712.868446,85.6961263,19.04285133,0,2.03E-05,1.54E-05,6.95E-05,0.000428541,0.00042468,7.82E-05,4.83E-06,0.000183385,2.90E-06,1.93E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Tuaran,2001,malaria,20,2.3,0.000229832,0,0,87020.1,8.94985583,47,26,1,122,132,61,0,8,14,44,39,3051.516718,1967.813042,19.02277187,24167.93693,11276.09866,71000.57625,0,209.1105604,5037.945085,1159.820139,684.4084192,0.000395742,0.000218921,8.42E-06,0.001027244,0.001111444,0.000513622,0,6.74E-05,0.00011788,0.000370481,0.000328381,1,152.1015142,8.42E-06,1,0,0,0,38.02229125,0,0,0,8.42E-06,0,0,0,0,0,0,0.10134561
51,Beaufort,2002,malaria,38,5.8,0.000583843,0,0,65086,7.640900623,39,15,11,161,173,154,1,60,38,13,30,2103.709737,1151.868266,485.4939801,39700.2521,42240.45208,63683.21586,38.07865457,4798.074166,13149.14163,390.3364561,504.6613533,0.000231804,8.92E-05,6.54E-05,0.000956936,0.001028261,0.00091533,5.94E-06,0.000356622,0.000225861,7.73E-05,0.000178311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312101204
52,Beluran,2002,malaria,896,119.3,0.010448736,3,0.3,85752,5.857024014,91,50,299,571,703,406,27,259,99,20,339,3612.281724,3061.14411,29622.67669,154006.074,97601.18043,433513.7408,1188.016502,12093.68493,83058.31727,1311.328305,7262.209907,0.000110125,6.05E-05,0.000361841,0.000691007,0.000850749,0.000491329,3.27E-05,0.000313434,0.000119807,2.42E-05,0.000410247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.585514476
53,Keningau,2002,malaria,59,3.6,0.000369669,0,0,159602.2,6.539925982,69,63,36,288,123,156,17,13,0,35,0,2418.442112,11148.82807,6142.741007,64015.48596,115651.5228,112310.2878,2561.397035,447.6001244,0,828.4395678,0,0.000218683,0.000199667,0.000114096,0.000912765,0.000389827,0.000494414,5.39E-05,4.12E-05,0,0.000110926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197611661
54,Kinabatangan,2002,malaria,438,35.5,0.004068583,2,0.5,107654.2,5.196261938,217,23,536,412,482,271,0,165,69,19,211,17487.28689,980.3570243,44101.32197,92448.33964,36683.54931,473597.4978,0,15770.31989,73032.11128,561.5426386,7651.387986,0.00028466,3.02E-05,0.000703123,0.00054046,0.000632286,0.000355497,0,0.000216446,9.05E-05,2.49E-05,0.000276789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.174916372
55,Kota Belud,2002,malaria,41,5.4,0.000518394,0,0,79090.4,5.668053976,52,33,1,102,141,50,6,18,22,17,50,8229.167979,2613.171015,19.01776766,21610.46166,15053.8347,81715.47609,104.5524345,684.1315924,2726.845371,418.1494605,893.1161795,0.000385512,0.000244652,7.41E-06,0.000756197,0.001045331,0.000370685,4.45E-05,0.000133446,0.000163101,0.000126033,0.000370685,5,161.5957902,3.71E-05,4,9,1,1,114.0660579,475.4088419,38.03177387,28.52369668,2.97E-05,6.67E-05,7.41E-06,7.41E-06,0,0,0,0.277114668
56,Kota Kinabalu,2002,malaria,126,3.2,0.000322886,0,0,390230.2,6.247267819,77,48,0,48,45,28,1,1,14,30,45,2538.841858,960.3818101,0,4431.235454,3156.901267,15263.05427,142.5875803,19.0151247,1730.57075,8025.672422,694.1047082,0.002081594,0.001297617,0,0.001297617,0.001216516,0.000756943,2.70E-05,2.70E-05,0.000378472,0.00081101,0.001216516,0,0,0,3,0,0,0,28.52496244,0,0,0,8.11E-05,0,0,0,0,0,0,0.172603302
57,Kota Marudu,2002,malaria,231,36.6,0.003668332,1,0.4,62971.4,5.681976491,18,21,1,139,116,40,0,21,5,5,27,2859.645999,978.603798,19.00852162,22953.79292,22669.7961,117900.7246,0,1149.515588,5822.897917,133.0055272,1073.33851,0.000102529,0.000119617,5.70E-06,0.000791751,0.000660742,0.000227842,0,0.000119617,2.85E-05,2.85E-05,0.000153793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960956957
58,Kuala Penyu,2002,malaria,9,5.3,0.000509407,0,0,17667.6,7.639208986,12,1,1,35,72,24,1,41,31,5,80,475.9021049,19.03528339,19.03867109,7091.250102,7386.324704,15876.55546,47.59528693,2008.538856,11843.07531,66.62650287,1751.423933,0.000257381,2.14E-05,2.14E-05,0.000750695,0.001544288,0.000514763,2.14E-05,0.000879386,0.000664902,0.000107242,0.001715875,1,38.07087947,2.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272310496
59,Kudat,2002,malaria,533,74.8,0.007035375,0,0,75760,5.769226403,51,14,0,137,186,82,7,113,101,12,245,2476.396511,445.9914768,0,14153.87271,15539.55815,68154.82578,151.7627479,3311.451128,19963.8375,825.8408905,5958.342885,0.00038296,0.000105126,0,0.001028736,0.001396678,0.00061574,5.26E-05,0.00084852,0.000758411,9.01E-05,0.001839711,12,1982.522464,9.01E-05,7,0,1,0,180.2608133,0,28.45347692,0,5.26E-05,0,7.51E-06,0,0,0,0,3.760855723
60,Kunak,2002,malaria,318,62.5,0.005846985,1,0.3,54387,4.498998047,24,1,117,146,123,43,0,9,21,3,37,2020.228307,28.58949523,6346.535023,17801.08178,8986.258738,69775.34916,0,266.7878536,4144.884244,114.3574549,1324.495656,0.00021659,9.02E-06,0.001055875,0.001317588,0.001110022,0.000388057,0,8.12E-05,0.000189516,2.71E-05,0.000333909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125585952
61,Lahad Datu,2002,malaria,564,34,0.003238011,6,1.1,174181,5.343745651,85,23,368,391,389,136,0,45,47,14,126,6152.1553,1152.485124,29579.52605,68905.40505,24782.24788,502770.638,0,1781.286393,13974.13877,695.3156245,2095.614217,0.00013039,3.53E-05,0.000564513,0.000599796,0.000596728,0.000208625,0,6.90E-05,7.21E-05,2.15E-05,0.000193284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.730923023
62,Nabawan,2002,malaria,78,31.4,0.002922465,0,0,26689.8,5.463747278,10,15,14,267,232,36,6,36,0,0,0,247.6792974,752.4891765,228.760989,28501.35579,33269.99895,551183.5401,400.0244754,1076.868319,0,0,0,1.62E-05,2.44E-05,2.27E-05,0.00043368,0.000376831,5.85E-05,9.75E-06,5.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.562243453
63,Papar,2002,malaria,19,2,0.000190672,0,0,99647.6,6.820368078,39,22,9,112,89,73,1,19,11,21,28,4195.872325,999.0058898,456.8031846,14254.50365,17186.40889,83490.18303,76.12339011,646.9709609,1607.876745,627.888256,399.6060428,0.000314303,0.000177299,7.25E-05,0.000902615,0.000717256,0.000588311,8.06E-06,0.000153122,8.86E-05,0.00016924,0.000225654,2,38.0630086,1.61E-05,4,0,0,0,104.6578852,0,0,0,3.22E-05,0,0,0,0,0,0,0.101926283
64,Penampang,2002,malaria,32,2.2,0.000338698,0,0,94479.4,5.941206342,20,24,0,33,27,8,0,0,2,5,1,846.4672319,932.0813496,0,3347.921182,1255.49613,37069.47675,0,0,38.04306608,2501.331535,57.06459675,0.000434331,0.000521197,0,0.000716645,0.000586346,0.000173732,0,0,4.34E-05,0.000108583,2.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181055733
65,Pitas,2002,malaria,239,73.5,0.006851907,0,0,34880.8,5.928203253,29,13,0,137,170,78,4,136,61,4,105,807.0354678,939.9986159,0,19581.28514,21054.15838,82527.7458,142.3682631,6854.642098,22159.37699,132.9537487,3674.161143,0.000183691,8.23E-05,0,0.000867782,0.00107681,0.000494066,2.53E-05,0.000861448,0.000386385,2.53E-05,0.000665089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.662780504
66,Putatan,2002,malaria,NA,0,NA,0,0,51477.6,5.941206342,10,7,0,6,5,2,0,0,0,3,3,294.8533537,323.3897929,0,618.2482276,114.1392379,228.286147,0,0,0,1008.199276,66.58057841,0.003768328,0.00263783,0,0.002260997,0.001884164,0.000753666,0,0,0,0.001130498,0.001130498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
67,Ranau,2002,malaria,385,50.4,0.004890454,1,0.3,78724.8,5.68331547,39,24,5,232,164,43,2,11,1,10,0,1588.181588,2377.423525,180.6703401,22462.9198,48416.44639,285699.6395,104.5935155,779.8774157,9.512870671,1036.482968,0,0.000107391,6.61E-05,1.38E-05,0.000638837,0.000451592,0.000118405,5.51E-06,3.03E-05,2.75E-06,2.75E-05,0,5,171.1568359,1.38E-05,1,5,0,1,19.01762233,190.1659261,0,9.507980083,2.75E-06,1.38E-05,0,2.75E-06,3,114.0991437,8.26E-06,2.61425889
68,Sandakan,2002,malaria,135,3.6,0.000358143,4,3,376944,6.054503719,79,19,189,183,198,136,1,77,52,23,227,2977.65064,2273.27122,16400.81489,35872.92628,11253.6654,91811.97042,57.0441847,3091.462434,55706.68092,1988.000429,4908.13546,0.000348957,8.39E-05,0.000834846,0.000808343,0.0008746,0.000600735,4.42E-06,0.000340122,0.000229693,0.000101595,0.001002698,1,19.0150768,4.42E-06,2,0,0,0,28.53446722,0,0,0,8.83E-06,0,0,0,0,0,0,0.191450438
69,Semporna,2002,malaria,187,16.7,0.001564005,0,0,119564.8,4.35780095,44,12,94,121,148,113,0,31,90,3,221,3336.38216,610.0964131,5948.235598,20390.57643,8932.193477,52179.42433,0,743.4602605,17043.11552,133.4572116,7920.912738,0.000375275,0.000102348,0.000801724,0.001032006,0.001262288,0.000963774,0,0.000264398,0.000767608,2.56E-05,0.001884903,1,9.531928847,8.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836060479
70,Sipitang,2002,malaria,58,19.1,0.001831086,0,0,31675.2,6.428830965,14,7,8,130,134,39,0,86,33,6,17,895.5233,190.5319411,276.3754334,23035.51978,13099.14651,233480.9348,0,3868.178894,3705.089031,95.26034406,419.064677,5.01E-05,2.51E-05,2.87E-05,0.00046557,0.000479895,0.000139671,0,0.000307992,0.000118183,2.15E-05,6.09E-05,3,114.3224681,1.07E-05,1,0,0,0,28.57453324,0,0,0,3.58E-06,0,0,0,1,19.06345667,3.58E-06,0.978831772
71,Tambunan,2002,malaria,28,9.3,0.000912213,0,0,30694.6,6.054815931,12,9,2,91,75,22,0,3,0,1,0,1351.102352,1056.130641,38.0525047,8497.122313,12646.8197,118153.5645,0,66.6041619,0,19.02990978,0,8.46E-05,6.34E-05,1.41E-05,0.000641362,0.000528595,0.000155055,0,2.11E-05,0,7.05E-06,0,2,57.08573296,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487635689
72,Tawau,2002,malaria,628,19.6,0.001843594,0,0,340639,4.442538085,120,69,214,459,471,263,0,53,39,23,235,4376.045631,2879.267761,16625.67114,103175.3769,93231.79536,325815.6803,0,2135.449473,39091.97262,2860.560529,6216.523547,0.000201179,0.000115678,0.000358769,0.000769509,0.000789626,0.000440917,0,8.89E-05,6.54E-05,3.86E-05,0.000393975,0,0,0,3,0,1,0,66.7434038,0,9.534433577,0,5.03E-06,0,1.68E-06,0,0,0,0,0.985518326
73,Tenom,2002,malaria,43,8.9,0.000859969,0,0,50001.8,6.626163247,12,13,19,118,114,59,0,14,0,6,0,342.8954591,704.7487675,1466.652102,17248.47072,36059.84021,175124.5712,0,314.3818136,0,238.0624788,0,5.18E-05,5.62E-05,8.21E-05,0.00050972,0.000492441,0.00025486,0,6.05E-05,0,2.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459708196
74,Tongod,2002,malaria,NA,0,NA,0,0,27268.8,5.010870651,22,20,72,450,430,88,5,189,3,2,0,695.0782908,333.3452423,6215.89155,49691.17424,74179.05777,894950.3826,209.5317539,9693.805583,85.6961263,19.04285133,0,2.12E-05,1.93E-05,6.95E-05,0.000434332,0.000415029,8.49E-05,4.83E-06,0.00018242,2.90E-06,1.93E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
75,Tuaran,2002,malaria,11,1.3,0.000123504,0,0,89066.2,5.736914014,48,25,1,121,132,59,0,8,14,44,39,3032.501889,1939.29107,19.02277187,23825.65554,11266.58921,71352.36709,0,209.1105604,5037.945085,1207.35694,684.4084192,0.000404162,0.000210501,8.42E-06,0.001018824,0.001111444,0.000496782,0,6.74E-05,0.00011788,0.000370481,0.000328381,1,152.1015142,8.42E-06,1,0,0,0,38.02229125,0,0,0,8.42E-06,0,0,0,0,0,0,0.066020558
76,Beaufort,2003,malaria,3,0.4,4.60E-05,0,0,65251,8.485945831,39,15,11,160,173,151,1,61,38,13,30,2103.709737,1151.868266,485.4939801,38890.81431,42326.13934,64378.3978,38.07865457,4817.119046,13158.66534,390.3364561,504.6613533,0.000231804,8.92E-05,6.54E-05,0.000950992,0.001028261,0.000897499,5.94E-06,0.000362566,0.000225861,7.73E-05,0.000178311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062054912
77,Beluran,2003,malaria,358,36.6,0.004051515,3,0.8,88362,7.473285107,93,50,298,575,718,380,27,267,101,20,339,3707.339054,3089.665782,29556.11879,147325.3256,96005.25254,441277.4273,1159.510923,12226.71217,83409.76436,1311.328305,7262.209907,0.000112546,6.05E-05,0.00036063,0.000695847,0.000868902,0.000459864,3.27E-05,0.000323115,0.000122227,2.42E-05,0.000410247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.468391158
78,Keningau,2003,malaria,47,2.7,0.000290359,0,0,161868.8,7.465897487,69,63,36,286,123,156,17,13,0,35,0,2418.442112,11129.78801,6142.741007,63624.97388,115680.1038,112672.2188,2561.397035,447.6001244,0,847.4796331,0,0.000218683,0.000199667,0.000114096,0.000906427,0.000389827,0.000494414,5.39E-05,4.12E-05,0,0.000110926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391901381
79,Kinabatangan,2003,malaria,126,11.8,0.00111516,0,0,112988.3,6.729874104,217,23,539,416,484,268,0,164,69,19,211,17496.80627,980.3570243,43987.1195,90325.67964,36864.40087,475548.8079,0,15855.98435,73041.62829,561.5426386,7651.387986,0.00028466,3.02E-05,0.000707058,0.000545707,0.000634909,0.000351561,0,0.000215135,9.05E-05,2.49E-05,0.000276789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.505147819
80,Kota Belud,2003,malaria,7,0.9,8.66E-05,0,0,80851.6,6.979090936,52,33,1,101,142,49,6,19,22,17,50,8229.167979,2613.171015,19.01776766,20821.86017,14825.81775,82722.59172,104.5524345,693.6343975,2726.845371,418.1494605,893.1161795,0.000385512,0.000244652,7.41E-06,0.000748783,0.001052744,0.000363271,4.45E-05,0.00014086,0.000163101,0.000126033,0.000370685,5,161.5957902,3.71E-05,4,9,1,1,114.0660579,475.4088419,38.03177387,28.52369668,2.97E-05,6.67E-05,7.41E-06,7.41E-06,0,0,0,0.116856131
81,Kota Kinabalu,2003,malaria,112,2.7,0.000280476,0,0,399321.8,7.315124803,77,48,0,50,45,26,1,1,14,30,45,2510.318853,960.3818101,0,4022.328222,3156.901267,15671.9615,142.5875803,19.0151247,1730.57075,8054.195427,694.1047082,0.002081594,0.001297617,0,0.001351684,0.001216516,0.000702876,2.70E-05,2.70E-05,0.000378472,0.00081101,0.001216516,0,0,0,3,0,0,0,28.52496244,0,0,0,8.11E-05,0,0,0,0,0,0,0.378562059
82,Kota Marudu,2003,malaria,98,15,0.001540006,0,0,63636.1,7.004792812,18,21,1,135,123,32,0,22,5,5,27,2859.645999,978.603798,19.00852162,17614.93732,22090.31852,123809.558,0,1159.015376,5822.897917,133.0055272,1073.33851,0.000102529,0.000119617,5.70E-06,0.000768966,0.000700614,0.000182274,0,0.000125313,2.85E-05,2.85E-05,0.000153793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.078569752
83,Kuala Penyu,2003,malaria,1,0.6,5.59E-05,0,0,17887.4,8.536247334,12,1,1,39,73,24,1,41,31,5,80,475.9021049,19.03528339,19.03867109,6206.01033,7281.617374,16856.98301,47.59528693,2018.058412,11843.07531,66.62650287,1751.423933,0.000257381,2.14E-05,2.14E-05,0.000836489,0.001565736,0.000514763,2.14E-05,0.000879386,0.000664902,0.000107242,0.001715875,1,38.07087947,2.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075456189
84,Kudat,2003,malaria,80,11,0.001039427,0,0,76965.5,7.278735427,51,13,0,144,216,63,7,122,103,12,245,2457.406877,427.002113,0,8191.294411,12454.34171,76794.51239,151.7627479,3615.127277,20106.24847,825.8408905,5958.342885,0.00038296,9.76E-05,0,0.001081299,0.001621949,0.000473068,5.26E-05,0.000916101,0.000773429,9.01E-05,0.001839711,12,1982.522464,9.01E-05,7,0,1,0,180.2608133,0,28.45347692,0,5.26E-05,0,7.51E-06,0,0,0,0,1.402929912
85,Kunak,2003,malaria,89,17.1,0.001605194,0,0,55445,5.810063265,24,1,117,141,123,43,0,9,21,3,37,2020.228307,28.58949523,6337.005901,17477.09983,8986.258738,70099.3327,0,276.3153883,4144.884244,114.3574549,1324.495656,0.00021659,9.02E-06,0.001055875,0.001272465,0.001110022,0.000388057,0,8.12E-05,0.000189516,2.71E-05,0.000333909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.166554917
86,Lahad Datu,2003,malaria,270,15.8,0.001514591,1,0.4,178266,6.941149419,85,23,366,387,393,134,0,45,47,13,126,6152.1553,1133.435123,29636.66564,67267.33262,24858.46787,504246.7732,0,1781.286393,14002.71641,714.3656255,2095.614217,0.00013039,3.53E-05,0.000561445,0.00059366,0.000602864,0.000205557,0,6.90E-05,7.21E-05,1.99E-05,0.000193284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.044265632
87,Nabawan,2003,malaria,46,18.2,0.00167931,0,0,27392.2,6.47687868,10,15,14,250,232,37,6,36,0,0,0,247.6792974,752.4891765,228.760989,25775.70709,33327.18732,553852.0004,400.0244754,1076.868319,0,0,0,1.62E-05,2.44E-05,2.27E-05,0.000406068,0.000376831,6.01E-05,9.75E-06,5.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.266590169
88,Papar,2003,malaria,18,1.8,0.000174341,0,0,103245.9,7.754259195,40,22,9,124,88,58,0,19,11,22,27,4167.336173,979.9796894,456.8031846,13103.0707,17005.60538,84727.2737,0,732.6094334,1607.876745,780.1110386,390.0908596,0.000322362,0.000177299,7.25E-05,0.000999323,0.000709197,0.000467425,0,0.000153122,8.86E-05,0.000177299,0.000217595,2,38.0630086,1.61E-05,3,0,0,0,95.14334352,0,0,0,2.42E-05,0,0,0,0,0,0,0.235310753
89,Penampang,2003,malaria,30,2,0.000304851,0,0,98408.6,7.042976345,21,24,0,33,27,8,0,0,2,5,1,836.9569196,932.0813496,0,3262.318919,1255.49613,37155.07901,0,0,38.04306608,2510.841847,57.06459675,0.000456047,0.000521197,0,0.000716645,0.000586346,0.000173732,0,0,4.34E-05,0.000108583,2.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411462523
90,Pitas,2003,malaria,40,12,0.001131023,0,0,35366.2,7.599479801,28,13,0,134,195,57,3,144,63,4,105,750.0637066,930.5026272,0,10815.77867,16666.45388,95339.21811,123.3824325,7243.863748,22187.85328,132.9537487,3683.655438,0.000177357,8.23E-05,0,0.00084878,0.001235164,0.000361048,1.90E-05,0.000912121,0.000399053,2.53E-05,0.000665089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.526559287
91,Putatan,2003,malaria,0,0,0,0,0,52025.9,7.042976345,10,7,0,7,4,2,0,0,0,4,3,294.8533537,313.8780052,0,551.6676997,104.6277322,294.8669146,0,0,0,1027.222329,66.58057841,0.003768328,0.00263783,0,0.00263783,0.001507331,0.000753666,0,0,0,0.001507331,0.001130498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Ranau,2003,malaria,93,11.7,0.001150147,2,2.2,80859.2,6.942848179,39,25,5,230,163,43,2,11,1,10,0,1588.181588,2386.934887,180.6703401,22082.59569,48616.19118,285870.7075,104.5935155,779.8774157,9.512870671,1036.482968,0,0.000107391,6.88E-05,1.38E-05,0.00063333,0.000448838,0.000118405,5.51E-06,3.03E-05,2.75E-06,2.75E-05,0,5,171.1568359,1.38E-05,1,5,0,1,19.01762233,190.1659261,0,9.507980083,2.75E-06,1.38E-05,0,2.75E-06,3,114.0991437,8.26E-06,1.552371251
93,Sandakan,2003,malaria,42,1.1,0.000110248,1,2.4,380958,7.912333612,79,20,187,184,198,131,1,80,53,24,227,2977.65064,2225.71213,15887.26469,33961.13495,11044.43506,94218.27481,57.0441847,3129.508948,55887.39035,2045.071069,4908.13546,0.000348957,8.83E-05,0.000826011,0.00081276,0.0008746,0.00057865,4.42E-06,0.000353374,0.00023411,0.000106012,0.001002698,1,19.0150768,4.42E-06,2,0,0,0,28.53446722,0,0,0,8.83E-06,0,0,0,0,0,0,0.148803887
94,Semporna,2003,malaria,67,5.9,0.000549844,0,0,121852.7,5.768069928,44,12,94,121,148,110,0,31,90,3,221,3317.314879,610.0964131,5948.235598,20218.97458,8913.127339,52341.49184,0,743.4602605,17090.78328,133.4572116,7920.912738,0.000375275,0.000102348,0.000801724,0.001032006,0.001262288,0.000938187,0,0.000264398,0.000767608,2.56E-05,0.001884903,1,9.531928847,8.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742132975
95,Sipitang,2003,malaria,25,8,0.000776728,0,0,32186.3,7.158302477,14,7,8,126,136,33,0,87,31,6,17,895.5233,181.0070405,276.3754334,18148.0099,12984.83002,238139.7389,0,4144.530114,3771.760095,104.7852446,419.064677,5.01E-05,2.51E-05,2.87E-05,0.000451245,0.000487058,0.000118183,0,0.000311574,0.000111021,2.15E-05,6.09E-05,3,114.3224681,1.07E-05,1,0,0,0,28.57453324,0,0,0,3.58E-06,0,0,0,1,19.06345667,3.58E-06,1.048361435
96,Tambunan,2003,malaria,26,8.3,0.00082816,0,0,31394.9,7.150574004,12,9,2,91,76,22,0,3,0,1,0,1351.102352,1056.130641,38.0525047,8497.122313,12703.89805,118096.4861,0,66.6041619,0,19.02990978,0,8.46E-05,6.34E-05,1.41E-05,0.000641362,0.000535643,0.000155055,0,2.11E-05,0,7.05E-06,0,2,57.08573296,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11777998
97,Tawau,2003,malaria,463,14.1,0.001324348,1,0.2,349606,5.753773817,120,70,214,469,465,266,0,52,41,23,236,4376.045631,3003.175257,16625.67114,102736.5073,95643.20626,323519.0162,0,2144.983978,39101.49248,2860.560529,6397.684482,0.000201179,0.000117354,0.000358769,0.000786273,0.000779567,0.000445946,0,8.72E-05,6.87E-05,3.86E-05,0.000395651,0,0,0,3,0,1,0,66.7434038,0,9.534433577,0,5.03E-06,0,1.68E-06,0,0,0,0,1.78749237
98,Tenom,2003,malaria,20,4.1,0.000393498,0,0,50826.2,7.429873753,12,13,19,117,116,58,0,14,0,6,0,342.8954591,704.7487675,1466.652102,17010.36273,36059.85675,175362.6627,0,314.3818136,0,238.0624788,0,5.18E-05,5.62E-05,8.21E-05,0.0005054,0.000501081,0.00025054,0,6.05E-05,0,2.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53110995
99,Tongod,2003,malaria,0,0,0,0,0,28384.2,6.27970164,23,22,73,445,433,90,5,189,3,2,0,723.642763,371.4421074,6215.898263,50205.84729,77512.72948,891035.3698,209.5317539,9693.805583,85.6961263,19.04285133,0,2.22E-05,2.12E-05,7.05E-05,0.000429506,0.000417924,8.69E-05,4.83E-06,0.00018242,2.90E-06,1.93E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
